Ti	 46-Ti	22	46	    8.25(3)         	8.25	0.03	    0.59(18)        	5.900E-01	1.80E-01	1.001	23
Ti	 47-Ti	22	47	    7.44(2)         	7.44	0.02	    1.52(11)        	1.520E+00	1.10E-01	1.001	175
Ti	 48-Ti	22	48	   73.72(3)         	73.72	0.03	    7.88(25)        	7.880E+00	2.50E-01	1.002	92
Ti	 49-Ti	22	49	    5.41(2)         	5.41	0.02	    1.79(12)        	1.790E+00	1.20E-01	1.001	88
Ti	 50-Ti	22	50	    5.18(2)         	5.18	0.02	    0.179(3)        	1.790E-01	3.00E-03	1.001	19
V 	 50-V 	23	50	    0.250(4)        	0.25	0.004	    21(4)           	2.100E+01	4.00E+00	0.999	328
V 	 51-V 	23	51	   99.750(4)        	99.75	0.004	    4.92(4)         	4.920E+00	4.00E-02	1.001	309
Cr	 50-Cr	24	50	    4.345(13)       	4.345	0.013	   15.9(2)          	1.590E+01	2.00E-01	1	64
Cr	 52-Cr	24	52	   83.789(18)       	83.789	0.018	    0.76(6)         	7.600E-01	6.00E-02	1	16
Cr	 53-Cr	24	53	    9.501(17)       	9.501	0.017	   18.2(15)         	1.820E+01	1.50E+00	1	90
Cr	 54-Cr	24	54	    2.365(7)        	2.365	0.007	    0.36(4)         	3.600E-01	4.00E-02	1	38
Mn	 55-Mn	25	55	100	100		   13.36(5)         	1.336E+01	5.00E-02	1	126
Fe	 54-Fe	26	54	    5.845(35)       	5.845	0.035	    2.25(18)        	2.250E+00	1.80E-01	1.001	33
Fe	 56-Fe	26	56	   91.754(36)       	91.754	0.036	    2.59(14)        	2.590E+00	1.40E-01	1	193
Fe	 57-Fe	26	57	    2.119(10)       	2.119	0.01	    2.5(3)          	2.480E+00	3.00E-01	1.001	35
Fe	 58-Fe	26	58	    0.282(4)        	0.282	0.004	    1.30(3)         	1.300E+00	3.00E-02	1.002	67
Co	 59-Co	27	59	100	100		   37.18(6)         	3.718E+01	6.00E-02	1	340
Ni	 58-Ni	28	58	   68.0769(89)      	68.0769	0.0089	    4.5(2)          	4.500E+00	2.00E-01	1	236
Ni	 60-Ni	28	60	   26.2231(77)      	26.2231	0.0077	    2.9(2)          	2.900E+00	2.00E-01	1	137
Ni	 61-Ni	28	61	    1.1399(6)       	1.1399	0.0006	    2.5(8)          	2.500E+00	8.00E-01	1	64
Ni	 62-Ni	28	62	    3.6345(17)      	3.6345	0.0017	   14.5(3)          	1.450E+01	3.00E-01	1	53
Ni	 64-Ni	28	64	    0.9256(9)       	0.9256	0.0009	    1.63(7)         	1.630E+00	7.00E-02	1	35
Cu	 63-Cu	29	63	   69.17(3)         	69.17	0.03	    4.52(2)         	4.520E+00	2.00E-02	1.001	306
Cu	 65-Cu	29	65	   30.83(3)         	30.83	0.03	    2.17(3)         	2.170E+00	3.00E-02	1.002	350
Zn	 64-Zn	30	64	   48.63(60)        	48.63	0.6	    1.1(1)          	1.100E+00	1.00E-01	1.001	78
Zn	 66-Zn	30	66	   27.90(27)        	27.9	0.27	    0.62(6)         	6.200E-01	6.00E-02	1	17
Zn	 67-Zn	30	67	    4.10(13)        	4.1	0.13	    9.5(14)         	9.500E+00	1.40E+00	1	175
Zn	 68-Zn	30	68	   18.75(51)        	18.75	0.51	    1.07(10)        	1.072E+00	1.00E-01	1	33
Zn	 70-Zn	30	70	    0.62(3)         	0.62	0.03	    0.091(5)        	9.070E-02	5.02E-03	1	79
Ga	 69-Ga	31	69	   60.108(9)        	60.108	0.009	    1.68(7)         	1.680E+00	7.00E-02	1	68
Ga	 71-Ga	31	71	   39.892(9)        	39.892	0.009	    4.73(15)        	4.730E+00	1.50E-01	1.001	245
Ge	 70-Ge	32	70	   20.84(87)        	20.84	0.87	    3.45(16)        	3.450E+00	1.57E-01	1	84
Ge	 72-Ge	32	72	   27.54(34)        	27.54	0.34	    0.95(11)        	9.500E-01	1.10E-01	1	48
Ge	 73-Ge	32	73	    7.73(5)         	7.73	0.05	   14.4(4)          	1.440E+01	4.00E-01	1	603
Ge	 74-Ge	32	74	   36.28(73)        	36.28	0.73	    0.53(5)         	5.300E-01	5.00E-02	1	47
Ge	 76-Ge	32	76	    7.61(38)        	7.61	0.38	    0.14(2)         	1.40000-01 	2.00E-02	1	196
As	 75-As	33	75	100	100		    4.23(8)         	4.230E+00	8.00E-02	1	348
Se	 74-Se	34	74	    0.89(4)         	0.89	0.04	   51.8(12)         	5.180E+01	1.20E+00	1.001	142
Se	 76-Se	34	76	    9.37(29)        	9.37	0.29	    85(7)           	8.500E+01	7.00E+00	1	456
Se	 77-Se	34	77	    7.63(16)        	7.63	0.16	    42(4)           	4.200E+01	4.00E+00	1	215
Se	 78-Se	34	78	   23.77(28)        	23.77	0.28	    0.430(22)       	4.300E-01	2.24E-02	1	37
Se	 80-Se	34	80	   49.61(41)        	49.61	0.41	    0.61(5)         	6.100E-01	5.10E-02	1	71
Se	 82-Se	34	82	    8.73(22)        	8.73	0.22	    0.044(3)        	4.420E-02	3.03E-03	1	0
Br	 79-Br	35	79	   50.69(7)         	50.69	0.07	   10.32(13)        	1.032E+01	1.30E-01	1	257
Br	 81-Br	35	81	   49.31(7)         	49.31	0.07	    2.36(5)         	2.360E+00	5.00E-02	1	181
Kr	 78-Kr	36	78	    0.35(1)         	0.35	0.01	    4.7(7)          	4.730E+00	6.80E-01	1	1
Kr	 80-Kr	36	80	    2.28(6)         	2.28	0.06	   11.5(5)          	1.150E+01	5.00E-01	1	1
Kr	 82-Kr	36	82	   11.58(14)        	11.58	0.14	    19(4)           	1.900E+01	4.00E+00	1	2
Kr	 83-Kr	36	83	   11.49(6)         	11.49	0.06	   202(10)          	2.020E+02	1.00E+01	0.995	75
Kr	 84-Kr	36	84	   57.00(4)         	57	0.04	    0.111(15)       	1.110E-01	1.50E-02	1	7
Kr	 86-Kr	36	86	   17.30(22)        	17.3	0.22	    0.003(2)        	3.000E-03	2.00E-03	1	38
Rb	 85-Rb	37	85	   72.17(2)         	72.17	0.02	    0.48(9)         	4.800E-01	9.01E-02	1	90
Rb	 87-Rb	37	87	   27.83(2)         	27.83	0.02	    0.12(3)         	1.200E-01	3.00E-02	1	86
Sr	 84-Sr	38	84	    0.56(1)         	0.56	0.01	    0.62(6)         	6.200E-01	6.00E-02	1	5
Sr	 86-Sr	38	86	    9.86(1)         	9.86	0.01	    1.04(7)         	1.040E+00	6.71E-02	1	375
Sr	 87-Sr	38	87	    7.00(1)         	7	0.01	    17(3)           	1.700E+01	3.00E+00	1.006	210
Sr	 88-Sr	38	88	   82.58(1)         	82.58	0.01	    0.0058(4)       	5.800E-03	4.00E-04	1	57
Y 	 89-Y 	39	89	100	100		    1.28(2)         	1.280E+00	2.00E-02	1.005	397
Zr	 90-Zr	40	90	   51.45(40)        	51.45	0.4	    0.011(5)        	1.100E-02	5.00E-03	1	15
Zr	 91-Zr	40	91	   11.22(5)         	11.22	0.05	    1.24(25)        	1.240E+00	2.50E-01	1	81
Zr	 92-Zr	40	92	   17.15(8)         	17.15	0.08	    0.22(6)         	2.200E-01	6.00E-02	1	18
Zr	 94-Zr	40	94	   17.38(28)        	17.38	0.28	    0.0499(24)      	4.990E-02	2.40E-03	1	14
Zr	 96-Zr	40	96	    2.80(9)         	2.8	0.09	    0.020(1)        	2.000E-02	1.00E-03	1	34
Nb	 93-Nb	41	93	100	100		    1.15(5)         	1.150E+00	5.00E-02	1.002	535
Mo	 92-Mo	42	92	   14.84(35)        	14.84	0.35	0.019	1.900E-02	0.00E+00	1	5
Mo	 94-Mo	42	94	    9.25(12)        	9.25	0.12	0.015	1.500E-02	0.00E+00	1.001	13
Mo	 95-Mo	42	95	   15.92(13)        	15.92	0.13	   13.4(3)          	1.340E+01	3.00E-01	0.998	139
Mo	 96-Mo	42	96	   16.68(2)         	16.68	0.02	    0.5(2)          	5.000E-01	2.00E-01	1.001	36
Mo	 97-Mo	42	97	    9.55(8)         	9.55	0.08	    2.5(2)          	2.500E+00	2.00E-01	0.998	110
Mo	 98-Mo	42	98	   24.13(31)        	24.13	0.31	    0.137(5)        	1.370E-01	5.00E-03	1	56
Mo	100-Mo	42	100	    9.63(23)        	9.63	0.23	    0.199(3)        	1.990E-01	3.00E-03	1	332
Ru	 96-Ru	44	96	    5.54(14)        	5.54	0.14	    0.22(2)         	2.200E-01	2.00E-02	1.001	2
Ru	 98-Ru	44	98	    1.87(3)         	1.87	0.03	   <8.0             	8.000E+00	0.00E+00	1.002	1
Ru	 99-Ru	44	99	   12.76(14)        	12.76	0.14	    7.1(10)         	7.100E+00	1.00E+00	1.002	134
Ru	100-Ru	44	100	   12.60(7)         	12.6	0.07	    5.0(6)          	5.000E+00	6.00E-01	1	32
Ru	101-Ru	44	101	   17.06(2)         	17.06	0.02	    3.4(9)          	3.400E+00	9.00E-01	1.001	60
Ru	102-Ru	44	102	   31.55(14)        	31.55	0.14	    1.21(7)         	1.210E+00	7.00E-02	1	173
Ru	104-Ru	44	104	   18.62(27)        	18.62	0.27	    0.47(2)         	4.700E-01	2.00E-02	1	183
Rh	103-Rh	45	103	100	100		   145(2)           	1.450E+02	2.00E+00	1.023	264
Pd	102-Pd	46	102	    1.02(1)         	1.02	0.01	    3.4(3)          	3.400E+00	3.00E-01	0.997	4
Pd	104-Pd	46	104	   11.14(8)         	11.14	0.08	    0.6(3)          	6.000E-01	3.00E-01	1	11
Pd	105-Pd	46	105	   22.33(8)         	22.33	0.08	   21.0(15)         	2.100E+01	1.50E+00	0.995	114
Pd	106-Pd	46	106	   27.33(3)         	27.33	0.03	    0.31(3)         	3.050E-01	2.91E-02	0.999	7
Pd	108-Pd	46	108	   26.46(9)         	26.46	0.09	    7.6(4)          	7.583E+00	4.01E-01	1	140
Pd	110-Pd	46	110	   11.72(9)         	11.72	0.09	    0.23(3)         	2.270E-01	3.06E-02	1	87
Ag	107-Ag	47	107	   51.839(8)        	51.839	0.08	   37.6(12)         	3.760E+01	1.20E+00	0.998	172
Ag	109-Ag	47	109	   48.161(8)        	48.161	0.008	    91(1)           	9.100E+01	1.02E+00	1.005	130
Cd	106-Cd	48	106	    1.25(6)         	1.25	0.06	   ~1.0             	1.000E+00	0.00E+00	1	0
Cd	108-Cd	48	108	    0.89(3)         	0.89	0.03	    0.72(13)        	7.200E-01	1.30E-01	1.001	0
Cd	110-Cd	48	110	   12.49(18)        	12.49	0.18	    11(1)           	1.100E+01	1.00E+00	1	191
Cd	111-Cd	48	111	   12.80(12)        	12.8	0.12	    24(3)           	2.400E+01	3.00E+00	0.995	5
Cd	112-Cd	48	112	   24.13(21)        	24.13	0.21	    2.2(5)          	2.200E+00	5.00E-01	1	0
Cd	113-Cd	48	113	   12.22(12)        	12.22	0.12	 20600(400)         	2.060E+04	4.00E+02	1.337	135
Cd	114-Cd	48	114	   28.73(42)        	28.73	0.42	    0.34(2)         	3.400E-01	2.00E-02	1	0
Cd	116-Cd	48	116	    7.49(18)        	7.49	0.18	    0.075(20)       	7.500E-02	2.00E-02	1	0
In	113-In	49	113	    4.29(5)         	4.29	0.05	   15.1(13)         	1.510E+01	1.28E+00	1.012	232
In	115-In	49	115	   95.71(5)         	95.71	0.05	   283(8)           	2.833E+02	8.28E+00	1.019	199
Sn	112-Sn	50	112	    0.97(1)         	0.97	0.01	    0.86(9)         	8.600E-01	9.00E-02	1	0
Sn	114-Sn	50	114	    0.66(1)         	0.66	0.01	    0.12(3)         	1.150E-01	3.00E-02	1.001	0
Sn	115-Sn	50	115	    0.34(1)         	0.34	0.01	    30(7)           	3.000E+01	7.00E+00	1	395
Sn	116-Sn	50	116	   14.54(9)         	14.54	0.09	    0.14(3)         	1.360E-01	3.01E-02	1	9
Sn	117-Sn	50	117	    7.68(7)         	7.68	0.07	    1.32(18)        	1.320E+00	1.80E-01	1	19
Sn	118-Sn	50	118	   24.22(9)         	24.22	0.09	    0.23(5)         	2.300E-01	5.04E-02	1	9
Sn	119-Sn	50	119	    8.59(4)         	8.59	0.04	    2.2(5)          	2.200E+00	5.00E-01	1	9
Sn	120-Sn	50	120	   32.58(9)         	32.58	0.09	    0.14(3)         	1.410E-01	3.00E-02	1	10
Sn	122-Sn	50	122	    4.63(3)         	4.63	0.03	    0.139(15)       	1.390E-01	1.50E-02	1	9
Sn	124-Sn	50	124	    5.79(5)         	5.79	0.05	    0.134(5)        	1.340E-01	5.39E-03	1	25
Sb	121-Sb	51	121	   57.21(5)         	57.21	0.05	    5.9(2)          	5.900E+00	2.00E-01	1.003	151
Sb	123-Sb	51	123	   42.79(5)         	42.79	0.05	    4.1(1)          	4.100E+00	1.00E-01	1.001	175
Te	120-Te	52	120	    0.09(1)         	0.09	0.01	    2.3(3)          	2.340E+00	3.06E-01	1	0
Te	122-Te	52	122	    2.55(12)        	2.55	0.12	    3.9(5)          	3.900E+00	5.00E-01	1	113
Te	123-Te	52	123	    0.89(3)         	0.89	0.03	   418(30)          	4.180E+02	3.00E+01	1.011	162
Te	124-Te	52	124	    4.74(14)        	4.74	0.14	    6.8(13)         	6.840E+00	1.30E+00	1	280
Te	125-Te	52	125	    7.07(15)        	7.07	0.15	    1.55(16)        	1.550E+00	1.60E-01	1	8
Te	126-Te	52	126	   18.84(25)        	18.84	0.25	    1.0(15)         	1.040E+00	1.50E+00	1	2
Te	128-Te	52	128	   31.74(8)         	31.74	0.08	    0.215(8)        	2.147E-01	8.06E-03	1	23
Te	130-Te	52	130	   34.08(62)        	34.08	0.62	    0.29(6)         	2.900E-01	6.08E-02	1	258
I 	127-I 	53	127	100	100		    6.2(2)          	6.200E+00	2.00E-01	0.999	348
Xe	124-Xe	54	124	    0.09(1)         	0.09	0.01	   165(11)          	1.650E+02	1.10E+01	1.004	4
Xe	126-Xe	54	126	    0.09(1)         	0.09	0.01	    3.8(8)          	3.800E+00	8.00E-01	1	0
Xe	128-Xe	54	128	    1.92(3)         	1.92	0.03	    5.2(13)         	5.200E+00	1.30E+00	0.998	7
Xe	129-Xe	54	129	   26.44(24)        	26.44	0.24	    21(7)           	2.100E+01	7.00E+00	1.001	59
Xe	130-Xe	54	130	    4.08(2)         	4.08	0.02	    4.8(12)         	4.800E+00	1.20E+00	0.998	13
Xe	131-Xe	54	131	   21.18(3)         	21.18	0.03	    85(10)          	8.500E+01	1.00E+01	1.002	72
Xe	132-Xe	54	132	   26.89(6)         	26.89	0.06	    0.41(5)         	4.150E-01	4.50E-02	1	0
Xe	134-Xe	54	134	   10.44(10)        	10.44	0.1	    0.265(20)       	2.650E-01	2.00E-02	0.999	0
Xe	136-Xe	54	136	    8.87(16)        	8.87	0.16	    0.26(2)         	2.600E-01	2.00E-02	1	113
Cs	133-Cs	55	133	100	100		   30.3(11)         	3.030E+01	1.10E+00	1.002	384
Ba	130-Ba	56	130	    0.106(1)        	0.106	0.001	    8.7(9)          	8.700E+00	9.00E-01	1	2
Ba	132-Ba	56	132	    0.101(1)        	0.101	0.001	    7.0(8)          	7.000E+00	8.00E-01	0.979	2
Ba	134-Ba	56	134	    2.417(18)       	2.417	0.018	    1.5(3)          	1.500E+00	3.00E-01	1	120
Ba	135-Ba	56	135	    6.592(12)       	6.592	0.012	    5.8(9)          	5.814E+00	9.00E-01	1	87
Ba	136-Ba	56	136	    7.854(24)       	7.854	0.024	    0.68(17)        	6.800E-01	1.70E-01	1	96
Ba	137-Ba	56	137	   11.232(24)       	11.232	0.024	    3.6(2)          	3.600E+00	2.00E-01	1	210
Ba	138-Ba	56	138	   71.698(42)       	71.698	0.042	    0.40(4)         	4.040E-01	4.00E-02	1	48
La	138-La	57	138	    0.090(1)        	0.09	0.001	    57(6)           	5.720E+01	5.70E+00	1.003	6
La	139-La	57	139	   99.910(1)        	99.91	0.001	    9.04(4)         	9.040E+00	4.00E-02	0.999	308
Ce	136-Ce	58	136	    0.185(2)        	0.185	0.002	    6.5(10)         	6.500E+00	1.00E+00	0.999	109
Ce	138-Ce	58	138	    0.251(2)        	0.251	0.002	    1.02(24)        	1.025E+00	2.40E-01	0.991	1
Ce	140-Ce	58	140	   88.450(51)       	88.45	0.051	    0.58(2)         	5.800E-01	2.00E-02	0.999	29
Ce	142-Ce	58	142	   11.114(51)       	11.114	0.051	    0.97(2)         	9.700E-01	2.00E-02	0.998	48
Pr	141-Pr	59	141	100	100		   11.5(3)          	1.150E+01	3.00E-01	0.999	213
Nd	142-Nd	60	142	   27.2(5)          	27.2	0.5	   18.7(7)          	1.870E+01	7.00E-01	0.998	208
Nd	143-Nd	60	143	   12.2(2)          	12.2	0.2	   325(10)          	3.250E+02	1.00E+01	0.996	119
Nd	144-Nd	60	144	   23.8(3)          	23.8	0.3	    3.6(3)          	3.600E+00	3.00E-01	1	16
Nd	145-Nd	60	145	    8.3(1)          	8.3	0.1	    42(2)           	4.200E+01	2.00E+00	1	123
Nd	146-Nd	60	146	   17.2(3)          	17.2	0.3	    1.41(5)         	1.410E+00	5.00E-02	0.999	73
Nd	148-Nd	60	148	    5.7(1)          	5.7	0.1	    2.58(14)        	2.580E+00	1.40E-01	1	298
Nd	150-Nd	60	150	    5.6(2)          	5.6	0.2	    1.03(8)         	1.030E+00	8.00E-02	0.999	581
Sm	144-Sm	62	144	    3.07(7)         	3.07	0.07	    1.64(10)        	1.640E+00	1.00E-01	0.999	0
Sm	147-Sm	62	147	   14.99(18)        	14.99	0.18	    57(3)           	5.700E+01	3.00E+00	1.001	22
Sm	148-Sm	62	148	   11.24(10)        	11.24	0.1	    2.4(6)          	2.400E+00	6.00E-01	1	0
Sm	149-Sm	62	149	   13.82(7)         	13.82	0.07	 40100(600)         	4.014E+04	6.00E+02	1.718	160
Sm	150-Sm	62	150	    7.38(1)         	7.38	0.01	   100(4)           	1.000E+02	4.00E+00	0.998	301
Sm	152-Sm	62	152	   26.75(16)        	26.75	0.16	   206(6)           	2.060E+02	6.00E+00	1.003	160
Sm	154-Sm	62	154	   22.75(29)        	22.75	0.29	    8.3(5)          	8.300E+00	5.00E-01	1	136
Eu	151-Eu	63	151	   47.81(3)         	47.81	0.03	  9200(300)         	9.200E+03	2.83E+02	0.9	148
Eu	153-Eu	63	153	   52.19(3)         	52.19	0.03	   312(7)           	3.120E+02	7.00E+00	0.966	64
Gd	152-Gd	64	152	    0.20(1)         	0.2	0.01	   735(20)          	7.350E+02	2.00E+01	0.998	503
Gd	154-Gd	64	154	    2.18(3)         	2.18	0.03	    85(12)          	8.500E+01	1.20E+01	1	329
Gd	155-Gd	64	155	   14.80(12)        	14.8	0.12	 60900(500)         	6.090E+04	5.00E+02	0.843	324
Gd	156-Gd	64	156	   20.47(9)         	20.47	0.09	    1.8(7)          	1.800E+00	7.00E-01	1.001	0
Gd	157-Gd	64	157	   15.65(2)         	15.65	0.02	 254000(800)        	2.540E+05	8.15E+02	0.852	390
