 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
101MO 42  1599.260   .050  3.46E-04  1.63E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1605.300   .600  8.30E-06  1.12E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1615.000   .400  1.12E-05  1.13E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   514.100   .400  1.60E-04  7.13E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   590.100   .190  2.20E-04  2.26E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1011.050   .140  1.77E-04  1.46E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   933.300   .300  1.19E-04  1.14E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1249.400   .500  4.60E-05  3.20E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   358.200   .500  8.70E-06  1.81E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   650.900   .700  5.00E-06  1.11E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1662.490   .060  1.38E-04  4.17E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   652.700  1.100  5.40E-06  1.80E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   888.700   .300  4.70E-05  3.21E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1064.590   .110  5.40E-05  3.27E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1169.230   .170  4.40E-05  3.18E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1260.210   .150  2.92E-05  2.60E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1380.400   .800  2.27E-05  2.27E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1759.720   .060  1.99E-04  1.02E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   778.290   .050  1.93E-04  9.25E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   894.400  1.600  1.10E-05  5.01E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1184.190   .230  3.61E-05  2.65E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1199.940   .040  3.55E-04  1.39E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1290.700   .300  2.24E-05  1.50E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1517.800   .400  4.30E-05  3.17E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   686.000   .300  1.33E-05  1.15E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1293.290   .170  4.18E-05  2.06E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1308.130   .200  1.73E-05  1.85E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1520.400   .500  4.50E-05  6.10E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   775.800   .800  2.10E-05  4.03E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   869.700   .300  5.70E-05  4.23E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1186.760   .040  2.00E-04  9.34E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1382.710   .060  2.24E-04  8.84E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1882.260   .250  1.69E-05  1.17E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1888.300   .500  8.70E-06  1.42E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   318.000   .060  4.54E-05  2.46E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   347.560   .090  2.02E-05  1.86E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   368.400   .500  1.90E-05  3.03E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   642.710   .070  2.40E-04  1.07E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   859.130   .180  2.45E-05  1.89E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   934.210   .030  8.10E-04  5.37E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1251.100   .040  9.30E-04  3.74E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1346.090   .070  1.87E-04  9.18E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1355.890   .050  3.35E-04  1.62E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1673.910   .060  3.32E-04  1.61E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1754.900   .080  7.40E-05  3.49E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1946.540   .240  1.59E-05  1.16E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1394.860   .060  1.24E-04  5.82E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1485.900   .200  1.98E-05  1.20E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1712.930   .150  3.93E-05  2.39E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   370.000   .800  2.30E-05  3.05E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   448.600   .060  1.33E-04  6.80E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   728.190   .160  1.95E-05  1.86E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1020.000   .300  7.60E-05  3.51E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1160.980   .040  7.97E-04  3.15E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1336.400   .130  3.03E-05  1.58E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1377.950   .170  4.72E-05  2.75E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1431.680   .180  7.17E-05  3.04E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1440.840   .110  2.99E-05  1.94E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1514.100   .220  3.50E-05  2.36E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1532.490   .040  1.21E-03  4.95E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1653.300   .400  1.51E-05  1.16E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1840.240   .050  2.78E-04  1.92E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  2032.100   .050  1.31E-03  5.09E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  2038.400   .500  4.10E-05  5.10E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   442.000   .300  1.05E-05  1.42E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   737.300   .800  6.80E-06  1.41E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1314.280   .250  4.22E-05  2.42E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1435.100   .400  1.62E-05  1.45E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1768.220   .190  2.81E-05  1.92E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  2041.240   .050  4.25E-04  1.73E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  2047.310   .140  1.77E-05  1.46E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1007.400   .300  3.40E-05  3.11E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1218.000   .500  1.12E-05  1.43E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1387.600   .300  1.44E-05  1.15E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1418.560   .060  1.77E-04  8.20E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1523.000   .300  5.55E-05  2.83E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1609.200   .300  1.77E-05  1.46E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1629.400   .500  9.70E-06  1.12E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  2114.340   .080  1.14E-04  5.70E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   540.100   .500  1.87E-05  2.54E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1030.100   .400  1.37E-05  1.44E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1507.000   .700  9.70E-06  2.51E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1548.680   .240  2.96E-05  2.31E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   560.300   .300  1.37E-05  1.44E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1049.800   .060  6.90E-05  4.33E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1209.920   .210  2.60E-05  2.29E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1350.800   .700  9.70E-06  1.12E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1526.600   .500  1.95E-05  1.86E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1722.100   .600  6.50E-06  1.81E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   847.240   .240  1.48E-05  1.83E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1414.200   .060  9.80E-05  5.53E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1921.400   .500  1.05E-05  1.42E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   510.210   .120  4.90E-05  7.10E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1325.650   .150  5.50E-05  7.12E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1530.300   .500  2.90E-05  1.10E-05    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1646.400   .300  1.55E-05  1.45E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1941.800   .400  1.08E-05  1.13E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  2024.400   .800  1.33E-05  1.44E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   611.600   .500  2.60E-05  4.05E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   675.900   .600  9.00E-06  1.42E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42   798.000   .500  1.37E-05  1.83E-06    14.61 M  8.77E+02  1.80E+00 B-
101MO 42  1451.100   .400  1.26E-05  1.43E-06    14.61 M  8.77E+02  1.80E+00 B-
 99MO 42   140.511   .001  2.76E-02  6.86E-04    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42    40.584   .002  3.51E-04  1.18E-05    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   181.068   .008  2.00E-03  3.40E-05    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   366.421   .015  3.97E-04  6.93E-06    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   391.700   .400  1.06E-06  2.00E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   162.370   .015  3.97E-06  2.06E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   528.788   .015  1.91E-05  7.37E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   580.510   .070  1.06E-06  1.70E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   621.771   .024  6.10E-06  1.30E-06    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   761.770   .080  1.34E-07  1.31E-08    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   158.782   .015  6.31E-06  2.52E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   249.030   .030  1.30E-06  1.71E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   411.491   .015  4.86E-06  2.08E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   739.500   .017  4.05E-03  6.32E-05    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   777.921   .020  1.42E-03  2.42E-05    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   242.290   .080  8.50E-07  1.70E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   469.630   .070  8.90E-07  1.70E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   822.972   .015  4.45E-05  8.83E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   861.200   .900  2.40E-06  1.30E-06    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   537.790   .150  1.09E-06  2.00E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   457.600   .030  2.71E-06  2.03E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   620.030   .040  8.00E-07  3.00E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   986.440   .040  4.80E-07  1.70E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   380.130   .080  3.50E-06  3.03E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   960.754   .020  3.15E-05  7.97E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42  1001.343   .018  1.82E-06  1.71E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   410.270   .100  6.50E-07  1.30E-07    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42   689.600   .900  1.50E-07  6.00E-08    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42  1017.000   .500  2.00E-07  7.00E-08    65.94 H  2.37E+05  3.60E+01 B-
 99MO 42  1056.200   .050  3.60E-07  3.03E-08    65.94 H  2.37E+05  3.60E+01 B-
103RU 44   210.519   .023  3.30E-02  3.01E-03    1.69 MS  1.69E-03  7.00E-05 IT
103RU 44   213.400   .300  2.60E-03  6.00E-04    1.69 MS  1.69E-03  7.00E-05 IT
105RU 44   129.782   .004  9.09E-03  2.67E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   149.100   .070  2.80E-03  3.03E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   262.830   .100  1.05E-02  2.78E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44    62.390   .100  1.06E-04  1.51E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   326.140   .100  1.70E-03  1.92E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   339.400   .200  2.30E-05  8.01E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   469.370   .100  2.81E-02  9.03E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   349.960   .100  4.62E-04  2.40E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   499.300   .400  3.30E-03  5.02E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   139.330   .100  7.60E-05  1.50E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   489.480   .100  8.80E-04  1.01E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   638.660   .100  3.60E-04  4.04E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   225.080   .120  1.97E-04  1.53E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   254.880   .120  1.06E-04  1.51E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   575.070   .120  1.36E-03  1.51E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   724.300   .030  7.60E-02  1.13E-03     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   369.450   .120  7.60E-05  1.50E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   632.340   .100  2.42E-04  2.33E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   286.300   .200  4.50E-05  8.03E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   316.440   .150  1.78E-02  6.56E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   393.360   .100  6.05E-03  1.21E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   656.210   .100  3.30E-03  5.02E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44    81.200   .100  8.30E-05  1.51E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   306.660   .120  1.29E-04  1.51E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   350.180   .100  1.63E-03  1.92E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   413.530   .100  3.60E-03  4.04E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   676.360   .080  2.51E-02  8.83E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   805.840   .150  7.30E-05  1.50E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   343.300   .200  4.50E-05  8.03E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   163.460   .100  2.50E-04  3.02E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   183.600   .120  1.59E-04  1.52E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   245.210   .150  4.00E-05  8.02E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   330.850   .100  1.07E-03  1.21E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   470.100   .400  3.00E-04  4.02E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   500.100   .200  8.90E-04  1.21E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   513.730   .100  3.30E-04  8.02E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   577.000   .400  3.00E-05  8.01E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   820.000   .200  2.30E-05  8.01E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   969.440   .100  3.37E-03  1.21E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   846.900   .200  4.50E-05  8.03E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   597.100   .150  4.80E-05  1.10E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   821.980   .120  3.40E-04  7.02E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   851.980   .100  2.50E-04  3.02E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1172.580   .200  1.20E-05  3.01E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1321.260   .100  3.30E-04  4.03E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   539.290   .100  1.82E-04  1.52E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   559.240   .100  1.74E-04  1.52E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   621.040   .100  1.14E-04  1.51E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   707.000  1.000  1.50E-05  8.00E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   845.910   .120  1.01E-03  1.11E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   875.850   .150  4.01E-03  1.61E-04     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   952.780   .100  2.42E-05  2.33E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1215.380   .100  1.14E-04  1.51E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   407.600   .150  1.44E-04  1.52E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   572.000   .000  1.50E-05  8.00E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   591.200   .150  1.29E-04  1.51E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   652.700   .100  4.90E-04  5.05E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   738.270   .100  1.21E-04  1.51E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   878.200   .200  7.60E-04  8.08E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   907.640   .100  8.50E-04  9.09E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   984.600   .200  1.70E-05  3.01E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1377.060   .110  9.10E-05  1.51E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   635.500   .200  2.30E-05  8.01E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1441.200   .200  1.00E-05  3.00E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   701.000   .200  3.00E-05  8.01E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44   987.000   .200  1.14E-05  2.31E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1017.470   .100  5.20E-04  5.06E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1094.000   .000  5.30E-06  1.50E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1357.200   .200  3.80E-06  8.02E-07     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1059.600   .200  4.30E-05  1.10E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1229.500   .200  9.10E-06  2.30E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1698.100   .200  1.21E-04  2.31E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1209.000   .200  1.00E-05  3.00E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1238.800   .200  3.00E-06  8.01E-07     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1708.700   .200  8.00E-07  4.00E-07     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1082.700   .200  1.30E-05  3.01E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1222.000   .200  3.00E-05  4.02E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1251.890   .150  3.10E-05  4.03E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1571.000   .000  1.50E-06  8.00E-07     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1721.360   .150  5.30E-05  1.50E-05     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1765.400   .300  3.00E-07  2.30E-07     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1085.400   .200  7.60E-06  2.30E-06     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1809.000   .000  4.00E-07  3.00E-07     4.44 H  1.60E+04  7.20E+01 B-
105RU 44  1829.600   .300  1.20E-06  9.00E-07     4.44 H  1.60E+04  7.20E+01 B-
104RH 45   555.810   .040  3.14E+00  9.00E-02     42.3 S  4.23E+01  4.00E-01 B-
104RH 45   767.100   .100  1.80E-02  0.00E+00     42.3 S  4.23E+01  4.00E-01 B-
104RH 45   777.770   .070  9.70E-03  9.00E-04     42.3 S  4.23E+01  4.00E-01 B-
104RH 45   785.880   .050  5.70E-03  6.00E-04     42.3 S  4.23E+01  4.00E-01 B-
104RH 45  1341.670   .070  4.40E-03  6.00E-04     42.3 S  4.23E+01  4.00E-01 B-
104RH 45   451.160   .120  9.70E-03  9.00E-04     42.3 S  4.23E+01  4.00E-01 B-
104RH 45   460.500   .400  5.70E-03  0.00E+00     42.3 S  4.23E+01  4.00E-01 B-
104RH 45  1237.050   .050  1.04E-01  9.00E-03     42.3 S  4.23E+01  4.00E-01 B-
104RH 45  1238.020   .000  1.60E-02  0.00E+00     42.3 S  4.23E+01  4.00E-01 B-
104RH 45  1793.830   .090  1.60E-03  1.90E-04     42.3 S  4.23E+01  4.00E-01 B-
104RH 45   479.100   .700  4.70E-03  0.00E+00     42.3 S  4.23E+01  4.00E-01 B-
104RH 45   488.500   .300  4.40E-03  0.00E+00     42.3 S  4.23E+01  4.00E-01 B-
104RH 45   497.800   .800  3.50E-03  0.00E+00     42.3 S  4.23E+01  4.00E-01 B-
104RH 45  1689.100   .300  6.90E-04  1.90E-04     42.3 S  4.23E+01  4.00E-01 B-
104RH 45    51.500   .030  5.20E+00  3.00E-01     4.34 M  2.60E+02  3.00E+00 IT
104RH 45    97.140   .030  3.10E-01  3.00E-02     4.34 M  2.60E+02  3.00E+00 IT
104RH 45    32.110   .040  5.60E-05  1.10E-05     4.34 M  2.60E+02  3.00E+00 IT
104RH 45    77.533   .010  2.01E-01  1.70E-02     4.34 M  2.60E+02  3.00E+00 IT
107PD 46   214.900   .000  2.40E-03  4.00E-04     21.3 S  2.13E+01  0.00E+00 IT
109PD 46   188.990   .001  2.73E-02  1.50E-03     4.69 M  2.81E+02  6.00E-01 IT
111PD 46    59.820   .080  1.18E-04  9.04E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46    70.430   .080  1.68E-04  6.12E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   289.800   .100  2.28E-05  1.71E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46    87.000   .000  3.40E-06  2.39E-08     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   316.800   .200  4.50E-06  6.01E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   376.680   .080  9.90E-05  6.04E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   101.400   .700  1.10E-06  6.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   391.200   .100  5.80E-06  1.94E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   404.800   .200  1.87E-05  1.11E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   169.400   .200  7.00E-06  3.00E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   415.500   .300  1.65E-05  6.11E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   485.800   .200  5.80E-06  1.10E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   279.000   .200  2.20E-06  8.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   509.100   .600  4.70E-05  6.01E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   438.500   .100  1.08E-05  1.10E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   509.100   .600  4.70E-05  6.01E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   202.200   .400  2.20E-06  6.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   230.300   .200  5.20E-06  6.01E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   476.700   .100  1.29E-05  1.10E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   547.000   .080  8.20E-05  6.03E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   352.200   .600  1.30E-06  6.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   641.700   .200  3.70E-06  1.70E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   552.600   .200  3.60E-06  6.01E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   623.200   .100  6.20E-05  4.02E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   141.800   .500  9.00E-08  4.00E-08     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   580.000   .080  1.90E-04  1.34E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   650.400   .100  1.23E-04  6.06E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   418.000  1.000  9.00E-07  6.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   519.300   .200  2.20E-06  1.10E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   808.500   .000  2.60E-07  1.70E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   166.000  1.000  2.80E-06  1.90E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   745.700   .600  3.20E-06  1.30E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   816.500  1.000  1.70E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   494.100   .400  1.90E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   657.300   .600  5.20E-06  6.01E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   685.400   .200  1.12E-05  1.30E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   773.000  1.000  9.00E-07  4.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1002.300   .300  1.37E-05  2.40E-06     23.4 M  1.40E+03  1.20E+01 B-
