 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
 42K  19   692.000   .800  3.60E-06  8.00E-07   12.360 H  4.45E+04  4.32E+01 B-
 42K  19  1021.200   .900  2.22E-05  1.60E-06   12.360 H  4.45E+04  4.32E+01 B-
 42K  19  1920.800  1.000  4.60E-05  4.00E-06   12.360 H  4.45E+04  4.32E+01 B-
 49CA 20  2228.900   .500  3.90E-06  1.00E-06    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20   143.200   .200  7.10E-07  2.06E-07    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20  2371.700   .500  9.90E-06  2.20E-06    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20   856.100   .500  2.60E-06  6.67E-07    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20  3084.400   .100  1.90E-03  2.13E-04    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20  1144.500   .500  2.30E-06  6.53E-07    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20  1288.400   .500  1.50E-06  6.23E-07    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20   987.300   .500  1.60E-06  6.26E-07    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20  4071.900   .100  1.43E-04  2.20E-05    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20  1408.900   .200  1.28E-05  1.94E-06    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20  4493.000   .000  1.30E-06  1.46E-07    8.718 M  5.23E+02  3.60E-01 B-
 49CA 20  4738.200   .200  4.30E-06  1.20E-06    8.718 M  5.23E+02  3.60E-01 B-
 46SC 21   142.528   .008  4.88E+00  7.00E-02    18.75 S  1.88E+01  4.00E-02 IT
 51TI 22   320.076   .006  8.60E-03  8.91E-05     5.76 M  3.46E+02  6.00E-01 B-
 51TI 22   608.550   .050  1.10E-04  9.07E-06     5.76 M  3.46E+02  6.00E-01 B-
 51TI 22   928.630   .060  6.40E-04  3.07E-05     5.76 M  3.46E+02  6.00E-01 B-
 50V  23   783.290   .090  8.00E-07  5.00E-07  1.4E+17 Y  4.42E+24  1.26E+24 B-
 50V  23  1553.770   .060  3.80E-06  5.01E-07  1.4E+17 Y  4.42E+24  1.26E+24 EC
 52V  23  1434.100   .030  4.81E+00  1.00E-01     3.75 M  2.25E+02  6.00E-01 B-
 52V  23   935.520   .020  2.90E-03  2.00E-04     3.75 M  2.25E+02  6.00E-01 B-
 52V  23   398.080   .090  3.80E-03  1.00E-03     3.75 M  2.25E+02  6.00E-01 B-
 52V  23  1333.620   .030  2.82E-02  5.00E-04     3.75 M  2.25E+02  6.00E-01 B-
 52V  23  1530.670   .010  1.16E-01  2.00E-03     3.75 M  2.25E+02  6.00E-01 B-
 52V  23  2965.000  1.000  5.60E-03  1.00E-04     3.75 M  2.25E+02  6.00E-01 B-
 52V  23  1727.520   .150  3.40E-03  7.00E-04     3.75 M  2.25E+02  6.00E-01 B-
 52V  23  3161.700   .400  4.30E-05  1.00E-05     3.75 M  2.25E+02  6.00E-01 B-
 52V  23   647.450   .020  1.15E-02  1.20E-03     3.75 M  2.25E+02  6.00E-01 B-
 52V  23  1981.100   .400  5.00E-03  1.00E-03     3.75 M  2.25E+02  6.00E-01 B-
 52V  23   704.600   .300  9.00E-05  4.00E-05     3.75 M  2.25E+02  6.00E-01 B-
 52V  23  2337.700   .500  7.00E-05  4.00E-05     3.75 M  2.25E+02  6.00E-01 B-
 52V  23  3772.000  1.000  5.00E-05  2.00E-05     3.75 M  2.25E+02  6.00E-01 B-
 55CR 24   126.000   .500  1.80E-07  2.30E-08    3.497 M  2.10E+02  1.80E-01 B-
 55CR 24  1402.000   .400  1.38E-07  1.90E-08    3.497 M  2.10E+02  1.80E-01 B-
 55CR 24  1528.000   .200  3.80E-06  1.17E-08    3.497 M  2.10E+02  1.80E-01 B-
 55CR 24  2252.500   .400  3.30E-07  4.00E-08    3.497 M  2.10E+02  1.80E-01 B-
 55CR 24  2268.100   .600  1.20E-08  4.00E-09    3.497 M  2.10E+02  1.80E-01 B-
 55CR 24  2240.900   .800  4.20E-08  1.20E-08    3.497 M  2.10E+02  1.80E-01 B-
 55CR 24  2368.500   .600  1.90E-08  4.00E-09    3.497 M  2.10E+02  1.80E-01 B-
 56MN 25   846.754   .020  1.31E+01  4.00E-02   2.5789 H  9.28E+03  3.60E-01 B-
 56MN 25  1238.255   .026  1.31E-02  1.30E-03   2.5789 H  9.28E+03  3.60E-01 B-
 56MN 25  1810.720   .040  3.62E+00  1.10E-01   2.5789 H  9.28E+03  3.60E-01 B-
 56MN 25  2657.450   .050  8.70E-02  3.00E-03   2.5789 H  9.28E+03  3.60E-01 B-
 56MN 25  2113.050   .040  1.91E+00  5.00E-02   2.5789 H  9.28E+03  3.60E-01 B-
 56MN 25  2959.770   .060  4.08E-02  1.30E-03   2.5789 H  9.28E+03  3.60E-01 B-
 56MN 25  1037.818   .022  5.30E-03  7.00E-04   2.5789 H  9.28E+03  3.60E-01 B-
 56MN 25  2522.880   .060  1.31E-01  4.00E-03   2.5789 H  9.28E+03  3.60E-01 B-
 56MN 25  3369.600   .070  2.24E-02  1.30E-03   2.5789 H  9.28E+03  3.60E-01 B-
 56MN 25  2598.400   .050  2.50E-03  3.00E-04   2.5789 H  9.28E+03  3.60E-01 B-
 60CO 27    58.603   .007  4.11E-01  4.00E-03   10.467 M  6.28E+02  3.60E-01 IT
 60CO 27  1332.890   .130  6.80E-02  8.00E-03   10.467 M  6.28E+02  3.60E-01 B-
 60CO 27   826.280   .090  2.20E-03  0.00E+00   10.467 M  6.28E+02  3.60E-01 B-
 60CO 27  2158.770   .090  2.00E-04  0.00E+00   10.467 M  6.28E+02  3.60E-01 B-
 65NI 28   770.600   .200  1.47E-05  1.10E-06  2.51719 H  9.06E+03  9.36E-01 B-
 65NI 28  1115.530   .040  2.19E-03  1.32E-05  2.51719 H  9.06E+03  9.36E-01 B-
 65NI 28   366.270   .030  6.80E-04  7.04E-06  2.51719 H  9.06E+03  9.36E-01 B-
 65NI 28  1481.840   .050  3.30E-03  3.67E-06  2.51719 H  9.06E+03  9.36E-01 B-
 65NI 28   507.900   .100  4.14E-05  7.02E-07  2.51719 H  9.06E+03  9.36E-01 B-
 65NI 28   852.700   .200  1.36E-05  1.80E-06  2.51719 H  9.06E+03  9.36E-01 B-
