 19	 20-F 	  9	p	  5033.530	  5033.530(23)	     0.00063000	          0.00063(3)	     Stable	 0.00E+00	         1.00E-04(5)                                  
 19	 20-F 	  9	p	  6016.802	  6016.802(16)	     0.00094000	          0.00094(4)	     Stable	 0.00E+00	         1.50E-04(6)                                  
 19	 20-F 	  9	p	   583.561	   583.561(16)	     0.00356000	         0.00356(12)	     Stable	 0.00E+00	        0.000568(19)                                  
 19	 20-F 	  9	p	   665.207	   665.207(18)	     0.00149000	          0.00149(6)	     Stable	 0.00E+00	        2.38E-04(10)                                  
 19	 20-F 	  9	p	  3014.568	  3014.568(10)	     0.00040500	        0.000405(15)	     Stable	 0.00E+00	        6.46E-05(24)                                  
 19	 20-F 	  9	p	  4556.817	  4556.817(20)	     0.00051700	        0.000517(23)	     Stable	 0.00E+00	          8.2E-05(4)                                  
 19	 20-F 	  9	p	  5543.713	  5543.713(10)	     0.00040700	        0.000407(17)	     Stable	 0.00E+00	          6.5E-05(3)                                  
 19	 20-F 	  9	p	  6600.175	  6600.175(16)	     0.00096000	          0.00096(3)	     Stable	 0.00E+00	         1.53E-04(5)                                  
 20	 21-Ne	 10	p	   350.720	     350.72(6)	     0.01980000	           0.0198(4)	     Stable	 0.00E+00	          0.00297(6)                                  
 20	 21-Ne	 10	p	  2793.940	    2793.94(5)	     0.00900000	         0.00900(11)	     Stable	 0.00E+00	        0.001352(17)                                  
 20	 21-Ne	 10	p	  1931.080	    1931.08(6)	     0.00591000	         0.00591(22)	     Stable	 0.00E+00	          0.00089(3)                                  
 20	 21-Ne	 10	p	  4374.130	    4374.13(6)	     0.01910000	         0.01910(22)	     Stable	 0.00E+00	          0.00287(3)                                  
 20	 21-Ne	 10	p	  2895.320	   2895.32(10)	     0.00252000	          0.00252(7)	     Stable	 0.00E+00	        0.000378(11)                                  
 20	 21-Ne	 10	p	  1071.340	    1071.34(7)	     0.00540000	           0.0054(4)	     Stable	 0.00E+00	          0.00081(6)                                  
 20	 21-Ne	 10	p	  2035.670	   2035.67(20)	     0.02450000	          0.0245(25)	     Stable	 0.00E+00	           0.0037(4)                                  
 22	 23-Ne	 10	p	  1017.000	   1017.00(20)	     0.00300000	           0.0030(5)	     Stable	 0.00E+00	          0.00045(8)                                  
 22	 23-Ne	 10	p	  1979.890	    1979.89(6)	     0.00306000	         0.00306(17)	     Stable	 0.00E+00	          0.00046(3)                                  
 23	 24-Na	 11	p	    90.992	   90.9920(10)	     0.23500000	            0.235(3)	     Stable	 0.00E+00	           0.0310(4)                                  
 23	 24-Na	 11	p	   869.210	    869.210(9)	     0.10800000	          0.1080(13)	     Stable	 0.00E+00	         0.01424(17)                                  
 23	 24-Na	 11	p	   874.389	    874.389(6)	     0.07600000	          0.0760(11)	     Stable	 0.00E+00	         0.01002(15)                                  
 23	 24-Na	 11	p	  1636.293	  1636.293(21)	     0.02500000	           0.0250(7)	     Stable	 0.00E+00	          0.00330(9)                                  
 23	 24-Na	 11	p	  2414.457	  2414.457(21)	     0.02370000	           0.0237(5)	     Stable	 0.00E+00	          0.00312(7)                                  
 23	 24-Na	 11	p	  2025.139	  2025.139(22)	     0.03410000	           0.0341(8)	     Stable	 0.00E+00	         0.00450(11)                                  
 23	 24-Na	 11	p	  2208.400	    2208.40(3)	     0.02590000	           0.0259(9)	     Stable	 0.00E+00	         0.00341(12)                                  
 23	 24-Na	 11	p	  2517.810	    2517.81(3)	     0.06990000	          0.0699(15)	     Stable	 0.00E+00	         0.00921(20)                                  
 23	 24-Na	 11	p	  2752.271	  2752.271(23)	     0.06540000	          0.0654(12)	     Stable	 0.00E+00	         0.00862(16)                                  
 23	 24-Na	 11	p	  3587.460	  3587.460(25)	     0.05960000	          0.0596(11)	     Stable	 0.00E+00	         0.00786(15)                                  
 23	 24-Na	 11	p	  3981.450	  3981.450(25)	     0.06770000	          0.0677(11)	     Stable	 0.00E+00	         0.00892(15)                                  
 23	 24-Na	 11	p	  6395.478	  6395.478(15)	     0.10000000	          0.1000(20)	     Stable	 0.00E+00	           0.0132(3)                                  
 24	 25-Mg	 12	p	   585.000	     585.00(3)	     0.03140000	          0.0314(11)	     Stable	 0.00E+00	         0.00392(14)                                  
