22	 23-Ne	10	d	2541.92	2541.92	         1.12E-06(8)	0.00000112	8.01E-08	    37.24 S	3.72E+01	        1.68E-07(12)	1.68E-07	1.20E-08
22	 23-Ne	10	d	2981.85	2981.85	         1.57E-06(8)	0.00000157	8.02E-08	    37.24 S	3.72E+01	        2.36E-07(12)	2.36E-07	1.20E-08
23	 24-Na	11	d	    472.202(9)	472.202	            0.478(4)	0.478	4.00E-03	   20.20 MS	2.02E-02	           0.0630(5)	6.30E-02	5.27E-04
23	 24-Na	11	d	996.82	996.82	         7.7E-06(13)	0.0000077	1.30E-06	  14.9590 H	5.39E+04	        1.02E-06(17)	1.02E-06	1.71E-07
23	 24-Na	11	d	    1368.66(3)	1368.66	            0.530(8)	0.53	8.00E-03	  14.9590 H	5.39E+04	          0.0699(11)	6.99E-02	1.05E-03
23	 24-Na	11	d	    2754.13(6)	2754.13	            0.530(8)	0.53	8.00E-03	  14.9590 H	5.39E+04	          0.0699(11)	6.99E-02	1.05E-03
23	 24-Na	11	d	2869.5	2869.5	          1.6E-06(5)	0.0000016	5.00E-07	  14.9590 H	5.39E+04	          2.1E-07(7)	2.11E-07	6.59E-08
23	 24-Na	11	d	3866.19	3866.19	          0.00028(4)	0.00028	4.00E-05	  14.9590 H	5.39E+04	          3.7E-05(5)	3.69E-05	5.27E-06
23	 24-Na	11	d	4237.96	4237.96	        5.82E-06(13)	0.00000582	1.30E-07	  14.9590 H	5.39E+04	        7.67E-07(17)	7.67E-07	1.71E-08
26	 27-Mg	12	d	   170.686(15)	170.686	          3.3E-05(7)	0.000033	7.00E-06	    9.462 M	5.68E+02	          4.1E-06(9)	4.11E-06	8.73E-07
26	 27-Mg	12	d	     843.71(3)	843.71	         0.00298(14)	0.00298	1.40E-04	    9.462 M	5.68E+02	        0.000372(17)	3.72E-04	1.75E-05
26	 27-Mg	12	d	    1014.30(4)	1014.3	          0.00117(6)	0.00117	6.00E-05	    9.462 M	5.68E+02	         1.46E-04(8)	1.46E-04	7.48E-06
27	 28-Al	13	d	    1778.92(3)	1778.92	            0.232(4)	0.232	4.00E-03	   2.2414 M	1.34E+02	           0.0261(5)	2.61E-02	4.49E-04
30	 31-Si	14	d	   1266.15(10)	1266.15	          2.5E-06(4)	0.0000025	4.00E-07	    157.3 M	9.44E+03	          2.7E-07(4)	2.70E-07	4.32E-08
36	 37-S 	16	d	906.36	906.36	          1.6E-08(8)	1.60E-08	8.25E-09	     5.05 M	3.03E+02	          1.5E-09(8)	1.51E-09	7.80E-10
36	 37-S 	16	d	1169.07	1169.07	          1.0E-08(5)	1.00E-08	5.39E-09	     5.05 M	3.03E+02	            9E-10(5)	9.45E-10	5.09E-10
36	 37-S 	16	d	3086	3086	         1.9E-08(11)	1.90E-08	1.12E-08	     5.05 M	3.03E+02	         1.8E-09(11)	1.80E-09	1.06E-09
36	 37-S 	16	d	3103.36	3103.36	         2.8E-05(14)	0.0000282	1.41E-05	     5.05 M	3.03E+02	         2.7E-06(13)	2.67E-06	1.33E-06
36	 37-S 	16	d	3741.02	3741.02	            8E-08(4)	7.90E-08	4.03E-08	     5.05 M	3.03E+02	            7E-09(4)	7.47E-09	3.81E-09
36	 37-S 	16	d	4009.64	4009.64	            8E-09(5)	8.20E-09	4.80E-09	     5.05 M	3.03E+02	            8E-10(5)	7.75E-10	4.54E-10
36	 37-S 	16	d	4396	4396	          1.1E-09(7)	1.10E-09	7.43E-10	     5.05 M	3.03E+02	          1.0E-10(7)	1.04E-10	7.02E-11
37	 38-Cl	17	d	    671.355(8)	671.355	           0.0122(8)	0.0122	8.00E-04	     715 MS	7.15E-01	          0.00104(7)	1.04E-03	6.84E-05
37	 38-Cl	17	d	     1642.5(3)	1642.5	          0.0427(13)	0.0427	1.30E-03	    37.24 M	2.23E+03	         0.00365(11)	3.65E-03	1.11E-04
37	 38-Cl	17	d	   2166.90(20)	2166.9	          0.0568(15)	0.0568	1.50E-03	    37.24 M	2.23E+03	         0.00486(13)	4.86E-03	1.28E-04
40	 41-K 	19	d	   1460.822(6)	1460.822	             3.24(5)	3.24	4.80E-02	 1.265E+9 Y	3.99E+16	            0.251(4)	2.51E-01	3.72E-03
41	 42-K 	19	d	    312.60(25)	312.6	        0.000371(22)	0.000371	2.20E-05	   12.360 H	4.45E+04	        2.88E-05(17)	2.88E-05	1.71E-06
41	 42-K 	19	d	      692.0(8)	692	          3.6E-06(8)	0.0000036	8.00E-07	   12.360 H	4.45E+04	          2.8E-07(6)	2.79E-07	6.20E-08
41	 42-K 	19	d	      899.7(4)	899.7	          5.7E-05(3)	0.000057	3.00E-06	   12.360 H	4.45E+04	        4.42E-06(23)	4.42E-06	2.33E-07
41	 42-K 	19	d	     1021.2(9)	1021.2	        2.22E-05(16)	0.0000222	1.60E-06	   12.360 H	4.45E+04	        1.72E-06(12)	1.72E-06	1.24E-07
41	 42-K 	19	d	    1228.0(15)	1228	         2.6E-06(12)	0.0000026	1.20E-06	   12.360 H	4.45E+04	          2.0E-07(9)	2.02E-07	9.30E-08
41	 42-K 	19	d	     1524.6(3)	1524.6	        0.020000(14)	0.02	1.35E-05	   12.360 H	4.45E+04	       0.0015502(10)	1.55E-03	1.05E-06
41	 42-K 	19	d	    1920.8(10)	1920.8	          4.6E-05(4)	0.000046	4.00E-06	   12.360 H	4.45E+04	          3.6E-06(3)	3.57E-06	3.10E-07
41	 42-K 	19	d	     2424.3(7)	2424.3	          2.2E-05(3)	0.000022	3.00E-06	   12.360 H	4.45E+04	        1.71E-06(23)	1.71E-06	2.33E-07
48	 49-Ca	20	d	    143.20(20)	143.2	         7.1E-07(21)	0.00000071	2.06E-07	    8.718 M	5.23E+02	         5.4E-08(16)	5.37E-08	1.56E-08
48	 49-Ca	20	d	      856.1(5)	856.1	          2.6E-06(7)	0.0000026	6.67E-07	    8.718 M	5.23E+02	          2.0E-07(5)	1.97E-07	5.04E-08
48	 49-Ca	20	d	      987.3(5)	987.3	          1.6E-06(6)	0.0000016	6.26E-07	    8.718 M	5.23E+02	          1.2E-07(5)	1.21E-07	4.73E-08
48	 49-Ca	20	d	     1144.5(5)	1144.5	          2.3E-06(7)	0.0000023	6.53E-07	    8.718 M	5.23E+02	          1.7E-07(5)	1.74E-07	4.94E-08
48	 49-Ca	20	d	     1288.4(5)	1288.4	          1.5E-06(6)	0.0000015	6.23E-07	    8.718 M	5.23E+02	          1.1E-07(5)	1.13E-07	4.71E-08
48	 49-Ca	20	d	   1408.90(20)	1408.9	        1.28E-05(19)	0.0000128	1.94E-06	    8.718 M	5.23E+02	         9.7E-07(15)	9.68E-07	1.47E-07
